Point Name,Code,Northing (Y),Easting (X),Elevation (Z)
I28,IBUILD,2781593.878,486280.2,104.244
I29,IBUILD,2781594.879,486277.413,108.488
I30,IBUILD,2781600.082,486282.434,104.547
I31,IFARM,2781582.061,486291.171,101.885
I32,IFARM,2781575.63,486308.172,101.883
I33,IFARM,2781572.729,486316.166,102.388
I34,IFARM,2781570.531,486316.458,102.343
I35,IBOUNDARY,2781602.786,486360.861,104.607
I36,IBOUNDARY,2781591.725,486352.803,104.174
I37,IBOUNDARY,2781580.939,486345.016,103.765
I38,IBOUNDARY,2781575.055,486344.708,105.315
I39,IBOUNDARY,2781565.914,486344.627,105.312
I40,IBOUNDARY,2781561.613,486345.069,105.658
I41,IBOUNDARY,2781549.531,486346.587,104.153
I42,IBOUNDARY,2781540.513,486347.658,104.442
I43,IBOUNDARY,2781532.04,486348.658,105.472
I44,IBOUNDBUILD,2781600.78,486331.574,102.569
I45,IBOUNDBUILD,2781599.411,486335.15,102.583
I46,IBOUNDBUILD,2781637.752,486348.166,102.687
P001,JGAUSHALA,2781594.146,486271.385,102.111
P002,JGAUSHALA,2781592.306,486276.25,102.393
P003,JGAUSHALA,2781605.316,486275.551,105.4
P004,JGAUSHALAFENCE,2781591.106,486278.949,100.685
P005,JGAUSHALAFENCE,2781590.276,486281.118,100.41
P006,JGAUSHALAFENCE,2781587.103,486289.674,100.382
P007,JGAUSHALAFENCE,2781583.952,486298.242,102.204
P008,JFENCE,2781589.267,486272.17,102.034
P009,JFENCE,2781592.387,486263.876,102.003
P010,JFENCE,2781596.446,486252.607,102.027
P011,JFENCE,2781602.922,486237.284,100.358
P025,BOUND,2781609.514,486225.518,100.954
P026,BOUND,2781586.849,486222.274,100.581
PARK1,PARK1,2781927.719,486273.158,98.114
PARK2,PARK1,2781927.305,486275.087,98.238
PARK3,PARK1,2781925.758,486276.223,98.417
PARK4,PARK1,2781919.37,486275.482,98.565
PARK5,PARK1,2781917.899,486281.441,98.595
PARK6,PARK1,2781927.35,486283.677,98.436
PARK7,PARK1,2781930.63,486284.36,98.35
